date,amount,category,type,note
2026-01-25 09:51:27,133000.0,Di chuyển,Chi tiêu,Rửa xe
2026-01-25 19:06:56,4637000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-25 21:21:29,316000.0,Giải trí,Chi tiêu,Mua sắm
2026-01-25 23:10:28,61000.0,Di chuyển,Chi tiêu,Thay dầu
2026-01-26 05:13:41,463000.0,Giải trí,Chi tiêu,Mua sắm
2026-01-26 06:05:51,8677000.0,Thưởng,Thu nhập,Thưởng Tết
2026-01-26 22:57:35,405000.0,Ăn uống,Chi tiêu,Trà sữa
2026-01-27 03:06:35,3743000.0,Tiền thuê,Chi tiêu,Điện nước
2026-01-27 17:32:11,161000.0,Di chuyển,Chi tiêu,Grab/Gojek
2026-01-27 17:47:17,732000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-27 19:19:48,261000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-27 19:35:31,4409000.0,Thưởng,Thu nhập,Thưởng KPI
2026-01-27 21:48:07,4807000.0,Tiền thuê,Chi tiêu,Internet
2026-01-28 01:24:10,868000.0,Khác,Chi tiêu,Mua đồ lặt vặt
2026-01-28 02:34:28,314000.0,Ăn uống,Chi tiêu,Trà sữa
2026-01-28 04:17:39,970000.0,Khác,Chi tiêu,Đồ gia dụng
2026-01-28 04:33:11,2601000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-28 10:07:58,228000.0,Ăn uống,Chi tiêu,Bữa phụ
2026-01-28 10:45:10,160000.0,Di chuyển,Chi tiêu,Thay dầu
2026-01-28 12:12:22,517000.0,Giải trí,Chi tiêu,Sách báo
2026-01-28 19:24:07,485000.0,Ăn uống,Chi tiêu,Bữa phụ
2026-01-28 20:09:06,3464000.0,Thưởng,Thu nhập,Thưởng dự án
2026-01-29 07:12:13,4978000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-29 09:10:31,188000.0,Khác,Chi tiêu,Đồ gia dụng
2026-01-29 10:51:03,1001000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2026-01-29 17:40:27,624000.0,Giải trí,Chi tiêu,Mua sắm
2026-01-29 21:19:41,3717000.0,Tiền thuê,Chi tiêu,Internet
2026-01-30 12:51:53,26590000.0,Tiền lương,Thu nhập,Lương tháng
2026-01-30 17:21:45,303000.0,Giải trí,Chi tiêu,Game
2026-01-30 23:22:36,960000.0,Khác,Chi tiêu,Cắt tóc
2026-01-31 00:24:56,2255000.0,Thưởng,Thu nhập,Thưởng KPI
2026-01-31 02:03:27,188000.0,Di chuyển,Chi tiêu,Rửa xe
2026-01-31 03:53:04,18665000.0,Tiền lương,Thu nhập,Lương làm thêm
2026-01-31 08:25:27,3711000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-31 09:23:03,442000.0,Giải trí,Chi tiêu,Game
2026-01-31 14:43:11,2793000.0,Tiền thuê,Chi tiêu,Phí quản lý
2026-01-31 15:31:04,92000.0,Di chuyển,Chi tiêu,Đổ xăng
2026-01-31 19:12:13,88000.0,Di chuyển,Chi tiêu,Sửa xe
2026-02-01 01:43:27,4315000.0,Tiền thuê,Chi tiêu,Phí quản lý
2026-02-01 04:52:19,450000.0,Khác,Chi tiêu,Thuốc men
2026-02-01 10:56:13,999000.0,Giải trí,Chi tiêu,Sách báo
2026-02-01 11:27:30,622000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-02-01 12:33:28,479000.0,Ăn uống,Chi tiêu,Ăn tối
2026-02-01 16:00:17,301000.0,Khác,Chi tiêu,Khám bệnh
2026-02-02 01:42:02,102000.0,Ăn uống,Chi tiêu,Mua siêu thị
2026-02-02 02:41:40,454000.0,Khác,Chi tiêu,Thuốc men
2026-02-02 09:11:56,4676000.0,Tiền thuê,Chi tiêu,Điện nước
2026-02-02 13:33:52,319000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2026-02-02 22:08:51,676000.0,Khác,Chi tiêu,Thuốc men
2026-02-02 22:28:28,2086000.0,Tiền thuê,Chi tiêu,Internet
2026-02-02 22:36:20,107000.0,Khác,Chi tiêu,Quà tặng
2026-02-03 10:04:52,495000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-02-03 15:06:21,330000.0,Ăn uống,Chi tiêu,Ăn trưa
2026-02-03 21:00:22,4536000.0,Thưởng,Thu nhập,Thưởng Tết
2026-02-03 23:31:27,21041000.0,Tiền lương,Thu nhập,Lương làm thêm
2026-02-04 17:27:05,486000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-02-04 23:49:14,5369000.0,Thưởng,Thu nhập,Thưởng Tết
2026-02-05 00:45:19,907000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2026-02-05 04:18:31,736000.0,Khác,Chi tiêu,Cắt tóc
2026-02-05 09:40:05,767000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2026-02-05 11:38:48,430000.0,Giải trí,Chi tiêu,Sách báo
2026-02-05 11:51:49,3740000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-02-05 11:58:05,29436000.0,Tiền lương,Thu nhập,Lương kỳ 2
2026-02-05 20:29:19,207000.0,Ăn uống,Chi tiêu,Ăn tối
